Symbol,max_price,min_price,avg_price,last_price,max_to_min_change,max_to_min_change_percent,rebound_potential_percent
IR,143.24,19.22,87.10411111111112,27.36,124.02000000000001,0.8658196034627199,4.532894736842105
NCLH,59.65,7.77,37.28622222222222,11.47,51.879999999999995,0.869740150880134,4.5231037489101995
CCL,51.3,7.97,32.814,12.17,43.33,0.8446393762183236,3.5603944124897287
MAC,25.98,4.94,17.75677777777777,5.93,21.04,0.8098537336412625,3.548060708263069
RCL,133.72,22.33,85.54188888888893,36.88,111.39,0.8330092731079869,3.020336225596529
APA,33.23,4.01,19.791666666666664,10.5,29.22,0.8793259103219982,2.782857142857143
NBL,24.7,3.02,15.390222222222214,7.8,21.68,0.8777327935222672,2.7794871794871794
UAL,89.74,21.28,62.22866666666668,25.72,68.46,0.7628705148205928,2.661741835147745
M,17.3791,4.43,12.060333333333336,4.89,12.949100000000001,0.7450961212030542,2.6480777096114525
OXY,45.87,9.69,29.524888888888917,13.87,36.18,0.788750817527796,2.608507570295602
KSS,49.36,11.51,34.364333333333356,16.12,37.85,0.7668152350081038,2.348014888337469
HAL,25.12,4.61,16.49444444444445,8.92,20.51,0.8164808917197452,2.29932735426009
ADS,113.34,22.61,79.44666666666666,40.39,90.73,0.8005117346038468,2.2463481059668235
MRO,13.8944,3.12,8.819548888888889,4.84,10.7744,0.7754491017964072,2.2261157024793388
OKE,75.04,14.88,54.53366666666666,28.26,60.160000000000004,0.8017057569296375,2.1288039631988678
FTI,21.28,4.91,14.06233333333333,7.71,16.37,0.769266917293233,2.1232166018158236
AAL,30.47,9.39,21.41166666666666,10.25,21.08,0.6918280275680997,2.0565853658536586
DVN,26.26,5.41,17.250333333333334,10.57,20.85,0.7939832444782939,1.9725638599810786
MGM,34.29,7.14,24.400555555555567,13.78,27.15,0.7917760279965004,1.9702467343976777
PVH,106.79,29.05,73.88711111111112,39.7,77.74000000000001,0.727970783781253,1.9581863979848868
